##ID,N,W,S,E
11,63,-1,67,-1
61,1,24,3,-1
19,20,63,-1,-1
1,-1,25,61,-1
15,-1,16,16,67
22,65,-1,66,-1
56,-1,7,-1,23
18,-1,17,-1,-1
65,21,23,22,24
58,-1,-1,-1,12
7,-1,-1,8,56
17,-1,-1,57,18
62,0,-1,13,-1
5,-1,6,-1,4
59,-1,9,10,6
63,-1,-1,11,19
25,-1,57,-1,1
14,-1,-1,58,-1
23,-1,56,-1,65
4,-1,5,-1,-1
6,-1,59,-1,5
12,-1,58,-1,10
9,-1,-1,-1,59
20,-1,-1,19,57
67,11,15,0,-1
10,-1,12,-1,-1
66,22,-1,-1,2
8,-1,-1,9,-1
57,17,20,21,25
0,67,-1,62,-1
16,15,-1,-1,15
21,57,-1,65,-1
2,-1,66,-1,3
24,-1,65,-1,61
3,61,2,4,-1
13,62,-1,14,-1
